product_name,product_number,price
tbd-LSH-25-2022,76226,0
Zane's Golden Dragon Jet,71770,0
Mickey Mouse & Donald Duck's Farm,10775,0
tbd-LSH-31-2022,76230,0
"Mickey, Minnie and Goofy's Fairground Fun",10778,0
Spider-Man at Doc Ock’s Lab,10783,0
Alphabet Truck,10915,0
T. rex and Triceratops Dinosaur Breakout,10939,0
Spider-Man Headquarters,10940,0
Family Camping Van Adventure,10946,0
Horse Stable and Pony Care,10951,0
The Warped Forest,21168,0
Airplane & Airport,10961,59
Safari Wildlife Tree House,31116,0
Race Car Transporter,31113,0
The Ruined Portal,21172,0
Fish Tank,31122,0
Horse Training and Trailer,41441,0
Forest House,41679,192
Heartlake City Organic Café,41444,0
Magical Funfair Stalls,41687,0
Surfer Beach Fun,41710,0
Bag Tags Mega Pack - Messaging,41949,0
Ice Cream Picture Frames & Bracelet,41956,0
Stunt Park,60293,0
"Ariel, Belle, Cinderella and Tiana's Storybook Adventures",43193,0
Beach Lifeguard Station,60328,0
Farmers Market Van,60345,0
Car Transporter,60305,272
Boss Sumo Bro Topple Tower Expansion Set,71388,0
Dorrie’s Beachfront Expansion Set,71398,0
Tournament of Elements,71735,0
The Armorer’s Mandalorian™ Forge,75319,0
Trouble on Tatooine™,75299,0
Hogwarts™ Moment: Charms Class,76385,0
Hogwarts™ Moment: Defence Class,76397,0
Captain Carter & The Hydra Stomper,76201,0
Gargantos Showdown,76205,0
Hogwarts™ Moment: Divination Class,76396,0
Mickey & Minnie Birthday Train,10941,0
Buzz Lightyear’s Planetary Mission,10962,0
Santa's Gingerbread House,10976,0
The Rabbit Ranch,21181,0
Lunar Roving Vehicle,60348,0
The Nether Bastion,21185,0
Dark Trooper™ Attack,75324,0
tbd-IP-LSW14-2022,75332,0
Obi-Wan Kenobi’s Jedi Starfighter™,75333,0
Anna and Olaf's Castle Fun,43204,0
tbd-LSH-Batch-C2-2022,76213,0
Zurg Battle,76831,0
tbd-IP-LSW22-2022-Advent-Calendar,75340,0
Police Mobile Command Truck,60315,0
Blue & Beta Velociraptor Capture,76946,0
Mobile Crane,60324,0
Tony Stark’s Sakaarian Iron Man,76194,0
Batman™ Classic TV Series Batmobile™,76188,0
tbd-LSH-Advent-Calendar-2022,76231,0
tbd-HP-9-2022-Advent-Calendar,76404,0
My First Puppy & Kitten With Sounds,10977,0
tbd-LEAF-11-2022,71406,0
Elsa's Jewelry Box Creation,41168,0
Bath Time Fun: Floating Animal Island,10966,0
Burj Khalifa,21055,0
The Jungle Abomination,21176,0
Majestic Tiger,31129,0
Downtown Noodle Shop,31131,0
Beach Glamping,41700,0
London,21034,281
Stephanie's Sailing Adventure,41716,0
Baking Competition,41393,0
Big Message Board,41952,0
Creative Designer Box,41938,0
Mickey Mouse & Minnie Mouse Back-to-School Project Box,41964,0
Cinderella’s Royal Carriage,43192,0
Anna and Elsa's Frozen Wonderland,43194,0
Jasmine and Mulan’s Adventure,43208,0
Seaside Police and Fire Mission,60308,0
Lakitu Sky World Expansion Set,71389,0
Space Ride Amusement Truck,60313,0
Jungle Dragon,71746,0
Luigi’s Mansion™ Entryway Expansion Set,71399,0
Final Flight of Destiny's Bounty,71749,0
Ninja Dragon Temple,71759,0
Ninja Sub Speeder,71752,0
Cole’s Dragon Cruiser,71769,0
Ninja Training Center,71764,0
tbd-PT-IP-1-2021,75571,0
Republic Fighter Tank™,75342,0
Imperial Armored Marauder,75311,0
Spider-Man at the Sanctum Workshop,76185,0
Iron Man: Iron Monger Mayhem,76190,0
Sanctuary II: Endgame Battle,76237,0
Hogwarts™: Fluffy Encounter,76387,0
Batmobile™ Tumbler: Scarecrow™ Showdown,76239,0
"Fawkes, Dumbledore’s Phoenix",76394,0
Mercedes-AMG F1 W12 E Performance & Mercedes-AMG Project One,76909,0
Chevrolet Corvette C8.R Race Car and 1969 Chevrolet Corvette,76903,0
Aston Martin Valkyrie AMR Pro and Aston Martin Vantage GT3,76910,0
Mei’s Dragon Car,80031,0
Monkie Kid’s Staff Creations,80030,0
tbd-LEAF-17-2022,71412,0
Bonsai Tree,10281,0
LEGO® Large Creative Brick Box,10698,0
Mickey and Friends Castle Defenders,10780,0
Deluxe Brick Box,10914,0
Spider-Man Webquarters Hangout,10784,0
Police Station & Helicopter,10959,0
Wild Animals of South America,10973,0
90 Years of Play,11021,0
Bricks and Wheels,11014,0
Iron Man Figure,76206,74
The Ice Castle,21186,0
The Abandoned Village,21190,0
Surfer Beach House,31118,0
Unicorn Creative Family Pack,41962,68
Jeep® Wrangler,42122,0
Mia's Wildlife Rescue,41717,0
Paris,21044,340
McLaren Senna GTR™,42123,0
Formula E® Porsche 99X Electric,42137,0
Hoth™ AT-ST™,75322,0
Ford Mustang Shelby® GT500®,42138,0
Jay and Nya's Race Car EVO,71776,0
Barn & Farm Animals,60346,0
Obi-Wan Kenobi™ vs. Darth Vader™,75334,0
Wildlife Rescue Off-Roader,60301,281
tbd-LSH-Batch-C1-2022,76211,0
I am Groot,76217,0
XL-15 Spaceship,76832,0
Hogwarts™ Hospital Wing,76398,0
Hogwarts™ Courtyard: Sirius’s Rescue,76401,0
Hungarian Horntail Dragon,76406,0
Pyroraptor & Dilophosaurus Transport,76951,0
T. rex Dinosaur Breakout,76944,0
Triceratops Pickup Truck Ambush,76950,0
Quetzalcoatlus Plane Ambush,76947,0
Mickey & Friends Fire Truck & Station,10776,0
Minnie’s House and Café,10942,0
Space Shuttle Adventure,31117,0
Forest Camper Van and Sailboat,41681,0
Magical Caravan,41688,320
Street Food Market,41701,0
Belle and Rapunzel's Royal Stables,43195,0
Smashing Chimpanzee Stunt Loop,60338,0
Police Patrol Boat,60277,0
Fire Station,60320,481
X-1 Ninja Charger,71737,0
Fire Dragon Attack,71753,0
tbd-PT-IP-2-2021,75572,0
The Keepers' Village,71747,0
Scout Trooper™ Helmet,75305,0
Frozen Ice Castle,10899,0
Boba Fett’s Starship™,75312,0
Ford GT Heritage Edition and Bronco R,76905,0
Chang’e Moon Cake Factory,80032,0
Flower Bouquet,10280,0
Wild Animals of Europe,10979,0
Spider-Man & Friends: Funfair Adventure,10963,0
Roller Disco Arcade,41708,0
Lunar Space Station,60349,0
Adventures with Mario Starter Course,71360,0
Adventures with Luigi Starter Course,71387,0
The Goat Boat,76208,0
Steam Train,10874,0
The Training Grounds,21183,0
Pet Day-Care Center,41718,0
Water Park,41720,495
Designer Toolkit - Patterns,41961,0
