product_name,product_number,price,discount_price
Kai’s Fire Dragon EVO,71762,19,0
LEGO® Medium Creative Brick Box,10696,105,0
Creative Transparent Bricks,11013,137,0
Brick Box,10913,694,0
Fire Rescue & Police Chase,60319,134,0
Fire Truck,10969,81,0
Bricks and Functions,11019,202,0
The Skeleton Dungeon,21189,176,0
Ice Cream Truck Police Chase,60314,133,0
Mickey & Friends Bracelets Mega Pack,41947,178,0
Adhesive Patches Mega Pack,41957,201,0
John Deere 9620R 4WD Tractor,42136,122,0
Mars Spacecraft Exploration Missions,60354,189,0
Water Police Detective Missions,60355,149,0
Batmobile™: The Penguin™ Chase,76181,138,0
tbd-LSH-24-2022,76225,138,0
tbd-LSH-31-2022,76230,161,0
tbd-LSH-25-2022,76226,129,0
Mickey Mouse & Donald Duck's Farm,10775,179,0
T. rex and Triceratops Dinosaur Breakout,10939,133,0
Spider-Man Headquarters,10940,,0
Family Camping Van Adventure,10946,162,0
Safari Wildlife Tree House,31116,,0
Horse Stable and Pony Care,10951,179,0
Crocodile,31121,178,0
The Ruined Portal,21172,149,0
Airplane & Airport,10961,176,0
The Warped Forest,21168,199,0
Fish Tank,31122,169,0
Horse Training and Trailer,41441,149,0
Magical Funfair Stalls,41687,179,0
Forest House,41679,179,0
Bag Tags Mega Pack - Messaging,41949,164,0
Heartlake City Organic Café,41444,150,0
Surfer Beach Fun,41710,,0
"Ariel, Belle, Cinderella and Tiana's Storybook Adventures",43193,391,0
Ice Cream Picture Frames & Bracelet,41956,,0
Stunt Park,60293,152,0
Car Transporter,60305,154,0
Beach Lifeguard Station,60328,139,0
Tournament of Elements,71735,162,0
Farmers Market Van,60345,149,0
Dorrie’s Beachfront Expansion Set,71398,299,0
The Armorer’s Mandalorian™ Forge,75319,133,0
Trouble on Tatooine™,75299,161,0
Gargantos Showdown,76205,239,0
Captain Carter & The Hydra Stomper,76201,118,0
Hogwarts™ Moment: Divination Class,76396,170,0
Hogwarts™ Moment: Charms Class,76385,99,0
Mickey & Minnie Birthday Train,10941,128,0
Hogwarts™ Moment: Defence Class,76397,170,0
Santa's Gingerbread House,10976,730,0
Buzz Lightyear’s Planetary Mission,10962,289,0
Anna and Olaf's Castle Fun,43204,149,0
The Nether Bastion,21185,149,0
The Rabbit Ranch,21181,203,0
Dark Trooper™ Attack,75324,188,0
tbd-LSH-Batch-C2-2022,76213,151,0
Obi-Wan Kenobi’s Jedi Starfighter™,75333,141,0
tbd-IP-LSW14-2022,75332,196,0
Zurg Battle,76831,149,0
tbd-IP-LSW22-2022-Advent-Calendar,75340,149,0
Police Mobile Command Truck,60315,230,0
Batman™ Classic TV Series Batmobile™,76188,148,0
Tony Stark’s Sakaarian Iron Man,76194,187,0
London,21034,219,0
Hedwig™,75979,,0
tbd-LSH-Advent-Calendar-2022,76231,218,0
Elsa's Jewelry Box Creation,41168,200,0
Bath Time Fun: Floating Animal Island,10966,791,0
The Jungle Abomination,21176,190,0
My First Puppy & Kitten With Sounds,10977,259,0
Majestic Tiger,31129,125,0
Creative Building Time,10978,499,0
Downtown Noodle Shop,31131,297,0
Burj Khalifa,21055,230,0
Baking Competition,41393,499,0
Creative Designer Box,41938,196,0
Stephanie's Sailing Adventure,41716,282,0
Beach Glamping,41700,314,0
Mickey Mouse & Minnie Mouse Back-to-School Project Box,41964,219,0
Big Message Board,41952,183,0
Anna and Elsa's Frozen Wonderland,43194,163,0
Cinderella’s Royal Carriage,43192,196,0
Jasmine and Mulan’s Adventure,43208,249,0
Space Ride Amusement Truck,60313,214,0
Luigi’s Mansion™ Entryway Expansion Set,71399,219,0
Seaside Police and Fire Mission,60308,300,0
Boulder Blaster,71736,219,0
Jungle Dragon,71746,168,0
Lakitu Sky World Expansion Set,71389,212,0
Final Flight of Destiny's Bounty,71749,161,0
Ninja Sub Speeder,71752,161,0
Cole’s Dragon Cruiser,71769,219,0
Imperial Armored Marauder,75311,288,0
Republic Fighter Tank™,75342,299,0
Ninja Dragon Temple,71759,219,0
Ninja Training Center,71764,270,0
tbd-PT-IP-1-2021,75571,,0
"Fawkes, Dumbledore’s Phoenix",76394,165,0
Spider-Man at the Sanctum Workshop,76185,179,0
Iron Man: Iron Monger Mayhem,76190,224,0
Iron Man Figure,76206,623,0
Batmobile™ Tumbler: Scarecrow™ Showdown,76239,229,0
Hogwarts™: Fluffy Encounter,76387,225,0
Chevrolet Corvette C8.R Race Car and 1969 Chevrolet Corvette,76903,225,0
Aston Martin Valkyrie AMR Pro and Aston Martin Vantage GT3,76910,239,0
Mercedes-AMG F1 W12 E Performance & Mercedes-AMG Project One,76909,346,0
Monkie Kid’s Staff Creations,80030,222,0
Bonsai Tree,10281,179,0
tbd-LEAF-17-2022,71412,191,0
Mei’s Dragon Car,80031,,0
Succulents,10309,1910,0
Mickey and Friends Castle Defenders,10780,280,0
Bricks and Wheels,11014,250,0
Paris,21044,250,0
New York City,21028,224,0
The Ice Castle,21186,238,0
Police Station & Helicopter,10959,250,0
Around the World,11015,207,0
tbd-LSH-Batch-C1-2022,76211,350,0
Unicorn Creative Family Pack,41962,799,0
Jeep® Wrangler,42122,260,0
Surfer Beach House,31118,166,0
The Abandoned Village,21190,231,0
Mia's Wildlife Rescue,41717,252,0
McLaren Senna GTR™,42123,222,0
Ford Mustang Shelby® GT500®,42138,229,0
Barn & Farm Animals,60346,233,0
The Madrigal House,43202,273,0
Jay and Nya's Race Car EVO,71776,269,0
Wildlife Rescue Off-Roader,60301,273,0
Hoth™ AT-ST™,75322,248,0
Hogwarts™ Hospital Wing,76398,234,0
I am Groot,76217,252,0
Hogwarts™ Courtyard: Sirius’s Rescue,76401,219,0
Hungarian Horntail Dragon,76406,245,0
Quetzalcoatlus Plane Ambush,76947,253,0
XL-15 Spaceship,76832,199,0
Triceratops Pickup Truck Ambush,76950,227,0
