product_name,product_number,price
T. rex and Triceratops Dinosaur Breakout,10939,
"Mickey, Minnie and Goofy's Fairground Fun",10778,
Spider-Man Headquarters,10940,
Family Camping Van Adventure,10946,
Horse Stable and Pony Care,10951,
Race Car Transporter,31113,
The Warped Forest,21168,
Airplane & Airport,10961,59.51
The Ruined Portal,21172,
Safari Wildlife Tree House,31116,
Fish Tank,31122,
Horse Training and Trailer,41441,
Heartlake City Organic Café,41444,
Forest House,41679,192.07
Magical Funfair Stalls,41687,
Bag Tags Mega Pack - Messaging,41949,
Surfer Beach Fun,41710,
Ice Cream Picture Frames & Bracelet,41956,
Car Transporter,60305,272.90
"Ariel, Belle, Cinderella and Tiana's Storybook Adventures",43193,
Boss Sumo Bro Topple Tower Expansion Set,71388,
Stunt Park,60293,
Farmers Market Van,60345,
Beach Lifeguard Station,60328,
Dorrie’s Beachfront Expansion Set,71398,
Tournament of Elements,71735,
The Armorer’s Mandalorian™ Forge,75319,
Trouble on Tatooine™,75299,
Hogwarts™ Moment: Divination Class,76396,
Hogwarts™ Moment: Charms Class,76385,
Gargantos Showdown,76205,
Hogwarts™ Moment: Defence Class,76397,
Captain Carter & The Hydra Stomper,76201,
Mickey & Minnie Birthday Train,10941,
Buzz Lightyear’s Planetary Mission,10962,
Lunar Roving Vehicle,60348,
The Rabbit Ranch,21181,
The Nether Bastion,21185,
Anna and Olaf's Castle Fun,43204,
Santa's Gingerbread House,10976,
Dark Trooper™ Attack,75324,
tbd-IP-LSW14-2022,75332,
tbd-LSH-Batch-C2-2022,76213,
Obi-Wan Kenobi’s Jedi Starfighter™,75333,
Police Mobile Command Truck,60315,
Zurg Battle,76831,
Blue & Beta Velociraptor Capture,76946,
Batman™ Classic TV Series Batmobile™,76188,
Mobile Crane,60324,
tbd-IP-LSW22-2022-Advent-Calendar,75340,
Tony Stark’s Sakaarian Iron Man,76194,
London,21034,281.00
tbd-HP-9-2022-Advent-Calendar,76404,
Elsa's Jewelry Box Creation,41168,
tbd-LSH-Advent-Calendar-2022,76231,
Burj Khalifa,21055,
tbd-LEAF-11-2022,71406,
My First Puppy & Kitten With Sounds,10977,
Bath Time Fun: Floating Animal Island,10966,
Majestic Tiger,31129,
The Jungle Abomination,21176,
Downtown Noodle Shop,31131,
Stephanie's Sailing Adventure,41716,
Beach Glamping,41700,
Baking Competition,41393,
Mickey Mouse & Minnie Mouse Back-to-School Project Box,41964,
Big Message Board,41952,
Creative Designer Box,41938,
Cinderella’s Royal Carriage,43192,
Anna and Elsa's Frozen Wonderland,43194,
Jungle Dragon,71746,
Space Ride Amusement Truck,60313,
Jasmine and Mulan’s Adventure,43208,
Seaside Police and Fire Mission,60308,
Luigi’s Mansion™ Entryway Expansion Set,71399,
Lakitu Sky World Expansion Set,71389,
Ninja Sub Speeder,71752,
Cole’s Dragon Cruiser,71769,
Final Flight of Destiny's Bounty,71749,
Imperial Armored Marauder,75311,
Ninja Dragon Temple,71759,
Republic Fighter Tank™,75342,
Ninja Training Center,71764,
tbd-PT-IP-1-2021,75571,
Spider-Man at the Sanctum Workshop,76185,
Iron Man: Iron Monger Mayhem,76190,
Sanctuary II: Endgame Battle,76237,
Batmobile™ Tumbler: Scarecrow™ Showdown,76239,
"Fawkes, Dumbledore’s Phoenix",76394,
Chevrolet Corvette C8.R Race Car and 1969 Chevrolet Corvette,76903,
