product_name,product_number,price,discount_price
Extra DOTS Series 7 - SPORT,41958,SAR 16.93,0
Minnie Mouse's Ice Cream Shop,10773,,0
Zurg Battle,76831,SAR 149.00,0
Buzz Lightyear’s Planetary Mission,10962,SAR 289.62,0
tbd-IP-LSW14-2022,75332,SAR 196.22,0
London,21034,SAR 219.00,0
